*y  x1  x2
   1    8.226825000    1.169395000    1.118373000
   2    0.109088200   -0.027736910   -1.199227000
   3    2.630404000    0.273633200   -0.333248700
   4    1.052029000    0.284172700   -0.465744200
   5    2.114667000    0.273461100    0.337646500
   6   -0.950000000   -1.455054000    0.303369900
   7   -0.950000000   -0.158974600   -0.578913900
   8    6.673400000    0.584111700   -0.493971200
   9   -0.950000000   -0.386008700   -0.597904000
  10   14.461700000    1.193268000   -0.755598100
  11    3.097219000    0.061670570   -1.190837000
  12   -0.950000000   -0.820536900   -0.196247200
  13    3.861692000    0.183505300   -1.125666000
  14   -0.950000000   -1.663279000    0.646639200
  15    2.264557000    0.532494200    0.161735000
  16    4.249962000    0.049360880    0.879575700
  17   19.268760000    1.133359000   -0.513285500
  18    5.953319000    0.155062000   -0.330991700
  19    5.976439000    0.527189400    0.621774200
  20    2.257408000   -0.680243200   -1.271160000
  21   10.362620000    0.605770100   -0.110720500
  22    6.577365000    0.052372710   -0.099242230
  23    8.387619000    0.777968700    1.774104000
  24    6.747654000    0.262797600    1.103736000
  25   15.832590000    0.916533700    0.660364500
  26    7.478544000    0.109874000    0.443380800
  27    8.841385000    0.355984700    0.617707100
  28   -0.950000000   -1.035572000    0.122265500
  29   -0.950000000   -1.415056000    0.364568300
  30   14.701010000    1.085777000   -0.008372405
  31   -0.950000000   -1.212684000   -0.819421400
  32   14.498440000    1.038355000   -0.449619000
  33   20.675920000    1.167583000   -0.741893600
  34    8.452102000    0.399704000    0.458589600
  35    6.276858000    0.461262400    1.639903000
  36   12.148360000    0.690546300    1.306195000
  37    4.009454000    0.212668800    0.222401300
  38   -0.950000000   -1.069898000    0.380759400
  39   -0.424886300   -0.240134200    1.841222000
  40    8.154300000    1.408145000    1.101065000
  41   -0.950000000   -0.852119300   -0.121067000
  42   -0.950000000   -0.924828900   -0.883770400
  43   10.195650000    0.731325000    0.633720300
  44   11.556920000    0.744322800   -0.814955500
  45   -0.950000000   -0.712334800   -0.359199200
  46   -0.507036300   -0.402984800   -1.718428000
  47   -0.950000000   -1.040738000    1.386931000
  48   -0.950000000   -0.265134200    0.603474100
  49   11.896680000    0.978458700    0.332463000
  50    0.400205200   -0.194340300    0.017777550
  51    0.514173100   -0.053021380    0.445577900
  52    2.950332000    0.168562100    0.574792000
  53   -0.950000000   -1.044943000   -1.989027000
  54    8.362273000    0.988147800    0.650078800
  55    2.476272000    0.305541200    1.309854000
  56   -0.950000000   -0.940988300   -0.418505600
  57   15.124780000    1.177404000    1.230289000
  58   15.729530000    1.005555000   -0.221258500
  59   -0.950000000   -1.320281000    1.093359000
  60    9.237200000    0.581709600   -0.344814700
  61   -0.950000000   -0.877398900   -0.145487100
  62   -0.950000000   -0.350258100    0.133034000
  63   10.944330000    0.944562300   -1.405214000
  64    9.145461000    0.817068700   -1.699211000
  65   -0.950000000   -0.250664400    0.764514800
  66    9.312314000    1.669670000   -0.979108400
  67    4.819212000    0.540357800   -0.271684600
  68    8.614304000    0.486353300   -1.458336000
  69    6.853462000    0.738807800   -0.567735400
  70   -0.950000000   -1.435849000   -1.154638000
  71   -0.950000000   -1.459154000    0.592854300
  72   -0.950000000   -0.782416300    0.890089500
  73   -0.950000000   -0.326831100   -0.898110700
  74   -0.950000000    0.017294040    1.728066000
  75    5.808018000    0.824706500    0.197748300
  76   -0.950000000   -1.958444000   -0.293693700
  77    5.528452000    0.856394600    1.076368000
  78   -0.950000000   -0.090531790   -1.511706000
  79   -0.950000000   -0.786358000   -1.995148000
  80   -0.950000000    0.138067500    0.181781600
  81    3.350599000    0.459518500   -1.379254000
  82   -0.950000000   -0.911679700    0.310893000
  83   -0.950000000    0.234708900   -0.887152000
  84   -0.950000000    0.085315310   -0.988099600
  85   -0.950000000    0.366461100    0.496369100
  86    0.243138300    0.282158400   -0.903300600
  87   -0.950000000    0.260586800   -0.034580220
  88   -0.950000000   -0.410444300   -0.846368400
  89   -0.950000000    0.002497778   -0.664236800
  90    8.618492000    0.839069400   -0.849167200
  91    0.276350200   -0.786462700   -1.048427000
  92   17.967480000    1.674592000    0.526766500
  93   -0.950000000   -1.331176000   -0.827222300
  94    1.918338000   -0.486869700    1.867993000
  95   12.877160000    0.492319300   -0.794370800
  96   19.355820000    1.171453000    0.678478300
  97    6.587420000   -0.075413040   -0.608761500
  98   13.603350000    1.174788000    0.642818800
  99   14.118380000    1.028238000    0.879317900
 100    5.097644000    0.330725500    0.532378300
 101    9.117053000    0.663793600    0.831052300
 102    6.142264000    0.048590750   -0.350884700
 103   -0.950000000   -0.661018100   -0.040341400
 104    4.079925000    0.439510500    1.477362000
 105    8.710368000    0.692838700    0.336443600
 106   -0.950000000   -0.755662100   -0.193534000
 107   10.354500000    0.198473800   -1.029248000
 108   10.385800000    1.010771000    0.328944800
 109    1.376318000   -0.201974200   -0.059497020
 110   10.761700000    0.717469300    0.092965760
 111    7.387542000    0.352139100   -0.714313700
 112   -0.950000000   -1.198170000   -0.055516390
 113   -0.950000000   -0.616474700    1.775032000
 114    5.455472000    0.657951900    0.623987500
 115    9.289099000    0.713165600    0.727805800
 116    3.353400000   -0.168164700   -0.183825800
 117   22.326850000    1.343178000   -0.579102300
 118    4.481746000    0.942753300    1.588178000
 119   -0.950000000   -1.132471000    0.041143810
 120   -0.950000000   -0.293928400    0.135887000
 121   -0.950000000   -0.554810700   -0.515841600
 122   -0.950000000   -1.649929000   -0.609258900
 123   -0.950000000   -0.275729500   -0.275927200
 124   -0.950000000   -0.745777200   -0.388657200
 125   -0.604887100   -0.211186200   -1.348710000
 126   -0.950000000   -1.434434000   -1.356375000
 127   -0.950000000    0.194465400    0.615648200
 128    4.955464000    0.714328500   -1.435395000
 129   -0.950000000    0.443679800    1.060892000
 130   -0.950000000    0.191943500    0.322759700
 131    2.353715000    0.429787200    0.758719200
 132   19.012610000    1.695961000   -1.394511000
 133    5.670332000    1.086803000   -0.173936100
 134    4.070137000    0.500168300   -0.448342400
 135    8.618783000    0.813867900   -1.319316000
 136   -0.950000000   -1.821083000   -0.841251300
 137   20.711530000    1.792715000    0.664735900
 138    9.672483000    1.094593000    0.329513100
 139   -0.950000000   -0.465614300    0.891082200
 140    5.857534000    0.320985700    0.824650500
 141    8.004362000    0.693933300   -0.564385600
 142   -0.950000000   -1.343765000    0.102520200
 143   10.472700000    0.805132300   -1.331894000
 144   -0.950000000   -0.418797800   -0.004263034
 145   -0.950000000   -0.134193200    1.062582000
 146   -0.255782000   -0.307774900    0.302668000
 147   -0.950000000   -0.508538500    1.109621000
 148    5.279714000    0.310740300   -0.858295400
 149   18.586780000    1.630986000   -1.499060000
 150    1.011613000   -0.039593600    0.162499700
 151   -0.950000000   -1.064036000    0.369766300
 152    5.217224000    0.643541700   -1.238242000
 153    5.328593000    0.752329200    1.785491000
 154    0.248820200   -0.097418490   -1.067040000
 155    1.896066000    0.096404640    0.091527850
 156   14.538330000    1.286443000    0.496836800
 157    5.695011000    1.161778000    1.231319000
 158   -0.950000000   -1.095950000   -1.508670000
 159   -0.950000000   -0.616095300   -1.003962000
 160   -0.950000000   -1.923899000    0.235542300
 161   -0.950000000   -0.078841710    1.274399000
 162   -0.950000000   -0.314257700    1.385164000
 163   -0.950000000   -0.312588900    0.459756600
 164   -0.950000000   -0.884131800    1.140006000
 165    7.321958000    0.785397500   -0.392999200
 166   -0.950000000   -0.525500200   -1.099745000
 167   16.629790000    1.527746000    0.910305200
 168   -0.950000000   -0.686501200   -0.029586460
 169   -0.446912000    0.783334000    0.887666400
 170   -0.950000000   -1.487898000    0.361582300
 171    5.973209000    0.732925200   -0.696487300
 172   11.539770000    1.229887000   -0.174242700
 173    7.595667000    0.772593100   -0.241134300
 174   -0.950000000   -0.390910600   -1.422981000
 175    4.240571000    0.425003200   -1.878970000
 176   -0.950000000   -0.923866400    0.904278400
 177   -0.950000000   -0.173147500   -0.211508300
 178   -0.950000000   -0.520784900    1.694391000
 179   -0.950000000   -1.828071000   -0.754343900
 180    9.274724000    0.869904100   -1.328643000
 181   -0.950000000   -1.303233000    0.933806900
 182    8.519612000    0.859969200   -0.454942500
 183    3.464591000    0.050600680   -1.079078000
 184   -0.950000000   -0.298924900    1.306490000
 185    1.861547000    0.908308700    1.966781000
 186    2.752275000    0.261994200   -0.413048200
 187   -0.950000000   -0.364165400    0.947244700
 188    2.655320000    0.166987000   -0.335858000
 189   -0.950000000   -1.079702000   -0.430167400
 190   -0.950000000   -1.328126000   -1.197958000
 191   12.838100000    1.383374000   -0.696418200
 192   -0.950000000   -0.903611900   -0.803225700
 193   -0.950000000   -0.314722900   -0.064121320
 194   -0.950000000    0.058894550    1.470134000
 195    3.809958000    0.019649250   -1.531870000
 196    0.708393300    0.189862300    0.429390100
 197    3.300404000    0.478577200    0.119446600
 198    4.142217000    0.258834200   -0.341335000
 199   -0.950000000   -1.820685000    1.047683000
 200   -0.950000000   -0.971334600   -1.110544000
